	TEJASNET	450.35			25		Closed	425.00		Dhan					[{"price":450.35,"qty":25,"date":""}]	[{"price":425,"qty":25,"date":""}]
	DATAPATTNS	3520.53			15		Open			Dhan					[{"price":3520.53,"qty":15,"date":""}]	
	KRN	958.06			29		Closed	1183.30		Dhan					[{"price":958.06,"qty":29,"date":""}]	[{"price":1183.3,"qty":29,"date":""}]
	SRILOTUS	124.35			150		Closed	123.10		Dhan					[{"price":124.35,"qty":150,"date":""}]	[{"price":123.1,"qty":150,"date":""}]
	DALMIASUG	380.42			180		Open	373.60		Dhan (partial: 80/180 sold)					[{"price":380.42,"qty":180,"date":""}]	[{"price":373.6,"qty":80,"date":""}]
	GSPCROP	391.43			150		Closed	380.86		Dhan					[{"price":391.43,"qty":150,"date":""}]	[{"price":380.86,"qty":150,"date":""}]
	ZYDUSWELL	512.20			50		Closed	496.84		Dhan					[{"price":512.2,"qty":50,"date":""}]	[{"price":496.84,"qty":50,"date":""}]
	POWERICA	397.35			100		Closed	388.70		Dhan					[{"price":397.35,"qty":100,"date":""}]	[{"price":388.7,"qty":100,"date":""}]
	BAJAJCON	394.93			80		Closed	432.32		Dhan					[{"price":394.93,"qty":80,"date":""}]	[{"price":432.32,"qty":80,"date":""}]
	ATHERENERG	905.75			55		Closed	867.50		Zerodha					[{"price":905.75,"qty":55,"date":""}]	[{"price":867.5,"qty":55,"date":""}]
	AVANTIFEED	1465.69			122		Closed	1420.92		Zerodha					[{"price":1465.69,"qty":122,"date":""}]	[{"price":1420.92,"qty":122,"date":""}]
	COHANCE	368.28			66		Closed	357.26		Zerodha					[{"price":368.28,"qty":66,"date":""}]	[{"price":357.26,"qty":66,"date":""}]
	GMDCLTD	698.50			56		Closed	676.55		Zerodha					[{"price":698.5,"qty":56,"date":""}]	[{"price":676.55,"qty":56,"date":""}]
	GROWW	170.09			100		Closed	211.23		Zerodha					[{"price":170.09,"qty":100,"date":""}]	[{"price":211.23,"qty":100,"date":""}]
	GUJALKALI	631.16			94		Closed	722.27		Zerodha					[{"price":631.16,"qty":94,"date":""}]	[{"price":722.27,"qty":94,"date":""}]
	HDFCSML250	161.62			2404		Closed	165.38		Zerodha					[{"price":161.62,"qty":2404,"date":""}]	[{"price":165.38,"qty":2404,"date":""}]
	HINDCOPPER	557.25			89		Closed	543.36		Zerodha					[{"price":557.25,"qty":89,"date":""}]	[{"price":543.36,"qty":89,"date":""}]
	NETWEB	3299.38			24		Closed	3818.45		Zerodha					[{"price":3299.38,"qty":24,"date":""}]	[{"price":3818.45,"qty":24,"date":""}]
	PFOCUS	347.80			86		Closed	332.18		Zerodha					[{"price":347.8,"qty":86,"date":""}]	[{"price":332.18,"qty":86,"date":""}]
	SRTL	51.03			492		Closed	49.50		Zerodha					[{"price":51.03,"qty":492,"date":""}]	[{"price":49.5,"qty":492,"date":""}]
	UTLSOLAR	234.37			213		Closed	260.66		Zerodha					[{"price":234.37,"qty":213,"date":""}]	[{"price":260.66,"qty":213,"date":""}]
	GOLDBEES	86.74			1155		Open			Zerodha (holding, GOLDBEES-E)					[{"price":86.74,"qty":1155,"date":""}]	
	GVT&D	4167.83			8		Open			Zerodha (holding)					[{"price":4167.83,"qty":8,"date":""}]	
	HDFCLIFE	811.50			25		Open			Zerodha (holding)					[{"price":811.5,"qty":25,"date":""}]	
	IDEA	11.77			220		Open			Zerodha (holding)					[{"price":11.77,"qty":220,"date":""}]	
	IRCTC	876.15			10		Open			Zerodha (holding)					[{"price":876.15,"qty":10,"date":""}]	
	ITBEES	32.27			1858		Open			Zerodha (holding)					[{"price":32.27,"qty":1858,"date":""}]	
	JSWCEMENT	150.45			134		Open			Zerodha (holding)					[{"price":150.45,"qty":134,"date":""}]	
	LENSKART	537.54			92		Open			Zerodha (holding)					[{"price":537.54,"qty":92,"date":""}]	
	MON100	196.06			477		Open			Zerodha (holding, MON100-E)					[{"price":196.06,"qty":477,"date":""}]	
	NATIONALUM	428.10			116		Open			Zerodha (holding)					[{"price":428.1,"qty":116,"date":""}]	
	NETWORK18	89.95			13		Open			Zerodha (holding)					[{"price":89.95,"qty":13,"date":""}]	
	NIFTYBEES	279.00			734		Open			Zerodha (holding)					[{"price":279.0,"qty":734,"date":""}]	
	NUTEK	1.01			70		Open			Zerodha (holding, NUTEK-Z)					[{"price":1.01,"qty":70,"date":""}]	
	OMPOWER	199.95			125		Open			Zerodha (holding, OMPOWER-T)					[{"price":199.95,"qty":125,"date":""}]	
	RCOM	22.36			11		Open			Zerodha (holding, RCOM-T)					[{"price":22.36,"qty":11,"date":""}]	
	RSL	130.97			250		Open			Zerodha (holding)					[{"price":130.97,"qty":250,"date":""}]	
	SEDEMAC	1675.50			35		Open			Zerodha (holding)					[{"price":1675.5,"qty":35,"date":""}]	
	URBANCO	139.58			642		Open			Zerodha (holding)					[{"price":139.58,"qty":642,"date":""}]	
	ZYLOG	4.15			5		Open			Zerodha (holding, ZYLOG-BZ)					[{"price":4.15,"qty":5,"date":""}]	
